ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI
36832,Damjan Fras,M,28,178,60,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",,18.93700290367378
36832,Damjan Fras,M,28,178,60,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze,18.93700290367378
37066,Polona Frelih,F,21,,,Slovenia,SLO,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Singles,,
37165,Botjan Fridrih,M,20,183,73,Slovenia,SLO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,21.798202394816204
37242,Kristijan Fris,M,24,170,59,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",,20.41522491349481
37242,Kristijan Fris,M,32,170,59,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",,20.41522491349481
37647,Draen Funtak,M,21,179,84,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",,26.216410224399986
37647,Draen Funtak,M,21,179,84,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",,26.216410224399986
37647,Draen Funtak,M,21,179,84,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",,26.216410224399986
37647,Draen Funtak,M,25,179,84,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",,26.216410224399986
37697,Danijel Furtula,M,19,193,118,Montenegro,MNE,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Discus Throw,,31.678702783967356
37697,Danijel Furtula,M,24,193,118,Montenegro,MNE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,,31.678702783967356
37776,Matej Gaber,M,25,197,114,Slovenia,SLO,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,,29.374629596227678
37827,Anita Gae,F,29,177,69,Croatia,CRO,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,,22.024322512687924
37832,Andrej Gaina,M,22,185,85,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Team,,24.835646457268076
